ID	Date	Beijing	Wuhan	Shanghai	Shenzhen	Confirmed
1	12/01/2019	0.72	0.65	0.69	0.68	0
2	12/02/2019	0.62	0.63	0.64	0.58	0
3	12/03/2019	0.61	0.61	0.63	0.6	0
4	12/04/2019	0.6	0.61	0.65	0.62	0
5	12/05/2019	0.59	0.63	0.64	0.57	0
6	12/06/2019	0.64	0.62	0.69	0.62	0
7	12/07/2019	0.7	0.66	0.73	0.64	0
8	12/08/2019	0.65	0.66	0.71	0.71	0
9	12/09/2019	0.6	0.6	0.65	0.61	0
10	12/10/2019	0.61	0.59	0.64	0.58	0
11	12/11/2019	0.62	0.62	0.66	0.61	0
12	12/12/2019	0.61	0.6	0.66	0.56	0
13	12/13/2019	0.64	0.63	0.67	0.64	0
14	12/14/2019	0.69	0.63	0.71	0.66	0
15	12/15/2019	0.68	0.64	0.72	0.67	0
16	12/16/2019	0.76	0.6	0.67	0.58	0
17	12/17/2019	0.65	0.59	0.65	0.58	0
18	12/18/2019	0.62	0.65	0.64	0.61	0
19	12/19/2019	0.63	0.62	0.62	0.58	0
20	12/20/2019	0.62	0.59	0.64	0.6	0
21	12/21/2019	0.71	0.63	0.68	0.64	0
22	12/22/2019	0.7	0.68	0.71	0.69	0
23	12/23/2019	0.67	0.62	0.69	0.62	0
24	12/24/2019	0.72	0.68	0.74	0.69	0
25	12/25/2019	0.75	0.72	0.77	0.71	0
26	12/26/2019	0.65	0.45	0.69	0.63	0
27	12/27/2019	0.65	0.61	0.67	0.61	0
28	12/28/2019	0.66	0.63	0.71	0.67	0
29	12/29/2019	0.68	0.66	0.69	0.66	0
30	12/30/2019	0.65	0.64	0.67	0.66	0
31	12/31/2019	0.74	0.65	0.74	0.68	0
32	01/01/2020	0.83	0.8	0.84	0.82	0
33	01/02/2020	0.68	0.64	0.69	0.66	0
34	01/03/2020	0.64	0.59	0.65	0.61	0
35	01/04/2020	0.69	0.63	0.69	0.65	0
36	01/05/2020	0.75	0.61	0.67	0.66	14
37	01/06/2020	0.76	0.57	0.64	0.6	4
38	01/07/2020	0.65	0.59	0.64	0.61	35
39	01/08/2020	0.63	0.58	0.64	0.6	19
40	01/09/2020	0.63	0.59	0.65	0.62	11
41	01/10/2020	0.66	0.56	0.63	0.61	4
42	01/11/2020	0.69	0.61	0.69	0.65	7
43	01/12/2020	0.69	0.64	0.7	0.65	0
44	01/13/2020	0.64	0.6	0.65	0.6	0
45	01/14/2020	0.64	0.57	0.67	0.6	0
46	01/15/2020	0.66	0.59	0.67	0.59	1
47	01/16/2020	0.67	0.6	0.66	0.6	0
48	01/17/2020	0.69	0.62	0.67	0.65	3
49	01/18/2020	0.7	0.63	0.72	0.69	2
50	01/19/2020	0.66	0.6	0.69	0.66	12
51	01/20/2020	0.66	0.48	0.68	0.66	1
52	01/21/2020	0.62	0.32	0.65	0.59	110
